division_code,district_code,upazila_code,union_code,union_name,union_name_bangla,created_by
40,55,95,63,SABDALPUR,SABDALPUR,admin
20,75,87,85,NANNOI,NANNOI,admin
20,75,87,47,DHARMAPUR,DHARMAPUR,admin
20,75,87,50,AOZBALIA,AOZBALIA,admin
20,75,87,65,KALADURAP,KALADURAP,admin
55,49,6,38,Bangosonahat,Bangosonahat,admin
50,70,88,47,MOBARAKPUR,MOBARAKPUR,admin
50,70,88,77,SHAHBAJPUR,SHAHBAJPUR,admin
10,6,3,54,KEDARPUR,KEDARPUR,admin
10,6,3,40,DEHERGOTI,DEHERGOTI,admin
10,6,3,67,MADHOBPASHA,MADHOBPASHA,admin
30,29,21,57,JHAUKANDA,JHAUKANDA,admin
40,44,19,94,SURAT,SURAT,admin
40,44,19,58,MOHARAJPUR,MOHARAJPUR,admin
40,44,19,52,MODHUHATI,MODHUHATI,admin
20,12,94,57,PANISAR,PANISAR,admin
45,89,70,77,RAJNAGAR,RAJNAGAR,admin
45,89,37,5,DHANSHAYIL,DHANSHAYIL,admin
30,56,82,94,TALEBPUR,TALEBPUR,admin
30,82,73,65,MAURAT,MAURAT,admin
45,89,37,17,HATIBANDHA,HATIBANDHA,admin
30,56,82,51,JOYMONTOP,JOYMONTOP,admin
55,52,70,27,JAGOTBER,JAGOTBER,admin
45,89,37,60,NALKURA,NALKURA,admin
55,52,70,81,SHRIRAMPUR,SHRIRAMPUR,admin
50,10,6,13,ADOMDEGI,ADOMDEGI,admin
45,89,37,15,GOWRIPUR,GOWRIPUR,admin
30,56,82,77,SAYESTA,SAYESTA,admin
55,52,70,54,KUCHLIBARI,KUCHLIBARI,admin
30,82,73,20,HABAS PUR,HABAS PUR,admin
20,12,85,60,NOBINAGOR WEST,NOBINAGOR WEST,admin
30,56,82,25,CHANDAHOR,CHANDAHOR,admin
50,10,33,81,ZIANAGAR,ZIANAGAR,admin
50,10,6,67,NASRATPUR,NASRATPUR,admin
30,82,73,50,MASPARA,MASPARA,admin
50,10,33,40,GOBINDOPUR,GOBINDOPUR,admin
20,12,85,36,Zinodpuar,Zinodpuar,admin
50,10,33,54,GUNAHAR,GUNAHAR,admin
50,10,6,54,KUNDHOGRAM,KUNDHOGRAM,admin
45,61,52,74,KUSHTIA,KUSHTIA,admin
30,56,70,8,DHANKORA,DHANKORA,admin
50,10,6,27,CHAPAPU,CHAPAPU,admin
45,61,52,33,ISHORDIA,ISHORDIA,admin
45,61,52,23,AKUA,AKUA,admin
60,36,77,73,6 NONG KURSHY,6 NONG KURSHY,admin
